id,cost,elapsed_min,x_drift_mm,y_drift_mm,z_drift_mm,x_cost,y_cost,z_cost,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
581f0ebc,0.00024186693622899099,0.2,0.39553772161451023,0.2886956487030049,0.14161718729922437,9.888443040362756e-05,7.217391217575122e-05,7.080859364961219e-05,0.12703449782348872,0.03422989469887824,7.045095556921185e-06,0.00623484682420551,0.49412163764932376,0.000844005984854029,0.5447743711586971,4.1252718359623906,30.005820317615886,8.725098607692314e-06,0.0041834732290821275,0.8167070648077659,0.0209071767706154,1026.8835201182237
04c6b3e1,0.006341014714208743,0.2,1.4889287736791497,9.49802713108224,7.18855147603679,0.0003722321934197874,0.0023745067827705604,0.003594275738018395,0.13735614593834658,0.008161785706608218,1.5506165725988488e-05,0.0005414163117024698,0.40470278988278424,0.0014410001438778799,0.33011116253582096,4.350292095386067,30.193595947609047,2.2547726176928512e-05,0.0042104189516217845,1.0469194374739712,0.05393628136712337,1098.9230673116701
4f555097,0.029127922677427937,0.2,1.4249804248568088,19.855228914552477,47.61574068515123,0.0003562451062142022,0.0049638072286381195,0.023807870342575616,0.1610190917798846,0.013717774197871962,9.498192586005287e-06,0.002697094826389877,0.9988906774701294,0.00021694814543118962,0.5188918936081671,4.382257036165632,30.768611226183015,1.6655427004196778e-05,0.003988592316171123,0.6240245320323362,0.013438336323775602,870.7055249953934
2a020506,0.0006789926823229887,0.2,0.3389164170276612,0.8237628601982889,0.7766457260330023,8.47291042569153e-05,0.00020594071504957223,0.00038832286301650117,0.18830940637195376,0.012560164602586306,1.0449675064069063e-05,0.011137091917392025,0.8499281531006158,0.00027360627837937426,0.40247384280577153,3.9995152421802835,30.213255773656527,1.3314453453574175e-05,0.004109145895191265,1.0169459491227533,0.023272346969629324,1085.3971650990381
a84ffbfa,0.006214629034098227,0.2,1.5375709324902276,9.646210585617236,6.837367309142723,0.0003843927331225569,0.002411552646404309,0.0034186836545713616,0.06723491860036793,0.008507075896032243,1.0218034619733053e-05,0.02624511277931901,0.9056685692095242,0.0008391297743925454,0.576974016142433,4.8264022553936945,30.5878770131813,2.9976064389989735e-05,0.003733665460152551,0.7733742818763558,0.036391516317265456,1096.9290773193497
d0f63793,0.03451997153740381,0.2,1.1534305125819595,26.540460206296284,55.192997715368506,0.0002883576281454899,0.006635115051574071,0.027596498857684254,0.15887250417730822,0.01733515525335057,2.032098067226375e-05,0.010557644504422675,0.7137961522618207,0.00011024606863696723,0.12052551273940554,4.041541742395782,30.21964941303951,5.501194068219921e-05,0.0016935405466586254,1.1190586322396454,0.012011052334709752,1032.6662401118622
be4c9689,0.0007219168858858483,0.2,0.29722242093643997,0.6082613736461207,0.9910918744804161,7.430560523411e-05,0.00015206534341153017,0.0004955459372402081,0.2363034088407569,0.006688584458790029,9.410783161680358e-06,0.00560826985480821,0.6378497360847604,0.00021415056215619627,0.37622428074261105,4.388230376592365,30.02131957954941,1.8574696216422145e-05,0.0030221809438705986,1.2540913326626224,0.018037889777226437,1095.034398738022
f988e693,0.005208587264171725,0.2,1.3136706129713642,8.551018136426356,5.484830153644591,0.00032841765324284107,0.0021377545341065888,0.0027424150768222953,0.12785956285545583,0.01234551782158643,6.765085624270965e-06,0.0030340903979364352,0.8221488894722501,0.0008367613839417052,0.3117719168392613,4.433799977566599,31.09723612575286,9.602455742978645e-06,0.004518605288243072,0.871103376782856,0.03009914845537406,983.0188386302843
ea99c692,0.028341192729908166,0.2,0.8076211260957987,6.464521019456058,53.046314387040404,0.00020190528152394969,0.0016161302548640144,0.026523157193520202,0.5316020063387868,0.009263020448809674,3.969988403471639e-05,0.015571718326608823,0.720694283752992,0.00039817897435260913,0.20951174871185949,4.521802275092233,30.505672411231252,4.3055693985342534e-05,0.00017688579610292696,1.2809023345655055,0.016797462215228567,1099.9811029173557
3e47e6c3,0.04011031552619852,0.2,0.9599975516807703,13.775557060301402,72.85285374640596,0.00023999938792019257,0.0034438892650753504,0.03642642687320298,0.15603480884656018,0.013223327674365683,6.1587160823316995e-06,0.007969213353622157,0.5898215156734071,0.0002602611126208705,0.3470534947002074,4.270041887306838,30.143851279095973,1.5508880508301123e-05,0.00224299095460142,0.841284792973653,0.017164152904671385,1095.1168251436454
099cc0d3,0.005946160795215727,0.2,1.5130661997928607,9.60959662548379,6.3309901777931294,0.00037826654994821515,0.002402399156370948,0.0031654950888965645,0.18410399941539546,0.011035793850004357,2.9275695850172e-05,0.002195360463627237,0.09843315192292457,0.0006139781729141046,0.7232496179500789,4.6070248550553625,30.460808592193814,4.855628677247088e-05,0.004927084711968837,1.9991167838159805,0.06637029174708968,1099.658831771359
4603e3eb,0.0006567229219492182,0.2,0.24447479396613553,0.5882224621248393,0.8970972158529491,6.111869849153388e-05,0.00014705561553120982,0.00044854860792647457,0.47695296570258694,0.007985284371643054,1.547547846605171e-05,0.003672988326106309,0.4868330591267024,0.00018814336121932067,0.38610116386058924,4.534006461056869,29.570660315077653,3.2360603615204026e-05,0.0030251789983206817,1.994579104103418,0.02035527163236467,1020.6451590951727
c95fba63,0.0056937309930299405,0.2,1.474095825077242,9.040814856701688,6.130006645170416,0.00036852395626931053,0.002260203714175422,0.003065003322585208,0.24937456765947286,0.017479962437972972,5.088873221169869e-06,0.011311863644946784,0.7204956911676837,0.00028267925649450205,0.08996859474480395,4.095750489985655,30.28896211072905,2.0666662320696644e-05,0.004919106347329129,1.3078677374349021,0.05132127677104836,1044.9335208559457
