trial_id,reward,reward_hold,reward_drive,termination_hold,termination_drive,slip_m,contact_percentage_hold,detachment_fraction_hold,detached_hold,progress_m,progress_rate_mps,contact_percentage_drive,detachment_fraction_drive,detached_drive,stuck,walltime_s
200,-620.6070989097988,-620.6070989097988,-552.6,ok,ok,0.161419781959743,0.3802,0.6198,False,0.0,0.0,0.4474,0.5526,False,False,-1.319641351699829
201,-580.8161142555447,-580.8161142555447,-478.8,ok,ok,0.16322285110891738,0.42,0.5800000000000001,False,0.0,0.0,0.5212,0.4788,False,False,-1.2213070392608643
202,-681.648594387419,-681.648594387419,-573.0,ok,ok,0.20971887748381435,0.3194,0.6806,False,0.0,0.0,0.427,0.573,False,False,-1.2639601230621338
203,-915.9930542599836,-900.6375955178223,-915.9930542599836,detached,detached,0.007519103564489397,0.0994,0.9006,True,0.041389148003278364,0.0,0.0838,0.9162,True,False,-0.8195199966430664
204,-667.2552307347297,-667.2552307347297,-625.8000000000001,ok,ok,0.21104614694594123,0.3338,0.6662,False,0.0,0.0,0.3742,0.6258,False,False,-1.4558460712432861
205,-608.8447166216689,-608.8447166216689,-554.8,ok,ok,0.4489433243337813,0.3934,0.6066,False,0.0,0.0,0.4452,0.5548,False,False,-1.3281104564666748
206,-964.4531407416032,-964.4531407416032,-695.0000000000001,detached,ok,1.0106281483206412,0.0406,0.9594,True,0.0,0.0,0.305,0.6950000000000001,False,False,-1.4574573040008545
207,-569.3155019674539,-569.3155019674539,-501.7300962424697,ok,ok,0.9431003934907719,0.4354,0.5646,False,3.053980751506066,0.0,0.483,0.517,False,False,-1.2755043506622314
208,-573.7431517420187,-573.7431517420187,-484.6,ok,ok,0.18863034840374007,0.4272,0.5728,False,0.0,0.0,0.5154,0.48460000000000003,False,False,-1.2926950454711914
209,-607.8,-605.4844124349094,-607.8,ok,ok,0.2568824869818548,0.3958,0.6042000000000001,False,0.0,0.0,0.3922,0.6078,False,False,-1.24570894241333
210,-637.197397384087,-637.197397384087,-561.1999999999999,ok,ok,0.03947947681740814,0.363,0.637,False,0.0,0.0,0.4388,0.5611999999999999,False,False,1.0736818313598633
211,-560.2913336760539,-560.2913336760539,-463.6,ok,ok,0.45826673521078165,0.442,0.558,False,0.0,0.0,0.5364,0.4636,False,False,1.1745059490203857
212,-582.8153273091123,-582.8153273091123,-533.6,ok,ok,0.2030654618224724,0.4182,0.5818,False,0.0,0.0,0.4664,0.5336000000000001,False,False,1.0934195518493652
213,-618.5794007512795,-618.5794007512795,-544.2,ok,ok,0.1958801502559221,0.3824,0.6175999999999999,False,0.0,0.0,0.4558,0.5442,False,False,1.0831327438354492
214,-971.5117070123456,-971.5117070123456,-579.6,detached,ok,1.3023414024691229,0.035,0.965,True,0.0,0.0,0.4204,0.5796,False,False,1.0359489917755127
215,-547.9233036430934,-547.9233036430934,-506.0,ok,ok,0.14466072861866253,0.4528,0.5472,False,0.0,0.0,0.494,0.506,False,False,1.1353182792663574
216,-591.4714099905856,-591.4714099905856,-552.8,ok,ok,2.4542819981171347,0.4208,0.5791999999999999,False,0.0,0.0,0.4472,0.5528,False,False,1.2174091339111328
217,-632.2342597543668,-632.2342597543668,-523.8000000000001,ok,ok,0.12685195087338333,0.3684,0.6315999999999999,False,0.0,0.0,0.4762,0.5238,False,False,1.0925745964050293
218,-601.047443511484,-601.047443511484,-540.9999999999999,ok,ok,0.20948870229677918,0.4,0.6,False,0.0,0.0,0.459,0.5409999999999999,False,False,1.1031396389007568
219,-614.3149766086933,-614.3149766086933,-504.4,ok,ok,0.18299532173866462,0.3866,0.6134,False,0.0,0.0,0.4956,0.5044,False,False,1.0928313732147217
220,-602.0271840477644,-602.0271840477644,-571.0,ok,ok,0.08543680955287596,0.3984,0.6016,False,0.0,0.0,0.429,0.571,False,False,1.2548112869262695
221,-601.6409363902073,-601.6409363902073,-577.8,ok,ok,0.20818727804146078,0.3994,0.6006,False,0.0,0.0,0.4222,0.5778,False,False,1.0752174854278564
222,-568.7266203989695,-568.7266203989695,-513.6,ok,ok,0.18532407979388843,0.4322,0.5678000000000001,False,0.0,0.0,0.4864,0.5136000000000001,False,False,1.1384410858154297
223,-609.9278473165482,-609.9278473165482,-547.6819056353136,ok,ok,2.225569463309637,0.4012,0.5988,False,1.7436188729372764,0.0,0.4436,0.5564,False,False,1.140340805053711
224,-597.2687723619648,-597.2687723619648,-519.2511078367952,ok,ok,5.213754472392979,0.4288,0.5711999999999999,False,1.7497784326409542,0.0,0.472,0.528,False,False,1.192885398864746
225,-1000.0812690136406,-1000.0812690136406,-1000.0,detached,detached,0.016253802728133336,0.0,1.0,True,0.0,0.0,0.0,1.0,True,False,1.4017510414123535
226,-602.2384741888607,-602.2384741888607,-521.4,ok,ok,0.20769483777214348,0.3988,0.6012,False,0.0,0.0,0.4786,0.5214,False,False,1.2216041088104248
227,-607.1731675547989,-607.1731675547989,-556.8,ok,ok,0.4346335109597591,0.395,0.605,False,0.0,0.0,0.4432,0.5568,False,False,1.0909473896026611
228,-584.0000000000001,-576.8655891036018,-584.0000000000001,ok,ok,0.17311782072034446,0.424,0.5760000000000001,False,0.0,0.0,0.416,0.5840000000000001,False,False,1.100290298461914
229,-600.9135819254124,-600.9135819254124,-557.6,ok,ok,0.3027163850824853,0.4006,0.5993999999999999,False,0.0,0.0,0.4424,0.5576,False,False,1.0592234134674072
230,-558.8,-552.6759692328933,-558.8,ok,ok,0.25519384657865846,0.4486,0.5514,False,0.0,0.0,0.4412,0.5588,False,False,1.0405323505401611
231,-612.005458517714,-612.005458517714,-559.8000000000001,ok,ok,0.281091703542804,0.3894,0.6106,False,0.0,0.0,0.4402,0.5598000000000001,False,False,1.088996171951294
232,-614.5617780916516,-614.5617780916516,-540.0,ok,ok,0.07235561833032086,0.3858,0.6142000000000001,False,0.0,0.0,0.46,0.54,False,False,1.191354751586914
233,-572.5635672586424,-572.5635672586424,-476.0,ok,ok,0.19271345172846815,0.4284,0.5716,False,0.0,0.0,0.524,0.476,False,False,1.124587059020996
234,-694.8,-675.2730851043077,-694.8,ok,ok,0.134617020861545,0.3254,0.6746,False,0.0,0.0,0.3052,0.6948,False,False,1.2109770774841309
235,-548.7131650674478,-548.7131650674478,-529.0,ok,ok,0.222633013489559,0.4524,0.5476,False,0.0,0.0,0.471,0.529,False,False,1.1409192085266113
236,-527.7236932568323,-527.7236932568323,-483.2,ok,ok,0.10473865136646539,0.4728,0.5272,False,0.0,0.0,0.5168,0.48319999999999996,False,False,1.1714906692504883
237,-943.6404592283404,-943.6404592283404,-860.8,detached,detached,0.24809184566809014,0.0576,0.9424,True,0.0,0.0,0.1392,0.8608,True,False,0.8280293941497803
238,-641.1673586836414,-641.1673586836414,-443.20000000000005,ok,ok,0.15347173672827027,0.3596,0.6404000000000001,False,0.0,0.0,0.5568,0.44320000000000004,False,False,1.1483232975006104
239,-1000.0745957906341,-1000.0745957906341,-1000.0,detached,detached,0.014919158126831799,0.0,1.0,True,0.0,0.0,0.0,1.0,True,False,1.6504096984863281
