id,cost,elapsed_min,pulloff_force,detach_cost,achieved,goal,shortfall,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
6ba62887,0.000000,0.48,1244.6200,0.000000,1244.6200,956.3700,0.000000,0.048948249,0.0046031375,2.0182194e-05,0.0026898238,0.15581321,0.00052506097,0.90314417,4.3585034,30.130473,4.3329322e-05,0.0035447453,0.68824247,0.069076881,1195.3275
9613fc95,0.000000,0.48,1169.7600,0.000000,1169.7600,956.3700,0.000000,0.066965134,0.00074992366,1.5430447e-05,0.0019292872,0.47694706,0.00013210097,0.8078173,4.3021772,29.959926,3.2501356e-05,0.0045963363,0.84215958,0.029365214,1120.4091
cfd15c25,0.000000,0.48,1170.2600,0.000000,1170.2600,956.3700,0.000000,0.0565006,0.0051511766,1.6633445e-05,0.0008809895,0.14422591,0.00048951304,0.42082665,4.2088085,30.498134,7.4705586e-05,0.0042078703,0.56504595,0.048661246,1120.9082
5fe15a6d,0.000000,0.63,1238.8800,0.000000,1238.8800,956.3700,0.000000,0.10898627,0.0054592419,1.5590069e-05,0.0012611427,0.34379065,0.00030277431,0.76777227,4.6941667,30.091138,1.4251617e-05,0.003390043,0.55924809,0.04990748,1189.6069
c2941ddf,0.000000,0.63,1191.6200,0.000000,1191.6200,956.3700,0.000000,0.10104269,0.0033228839,2.7241123e-05,0.016675768,0.17882358,0.00035648704,0.10051955,4.5548611,29.512256,1.7932445e-05,0.0044333332,0.90682944,0.045876223,1142.2783
530c280b,0.000000,0.63,1014.6200,0.000000,1014.6200,956.3700,0.000000,0.15188306,0.0011578292,9.0982733e-05,0.0023071773,0.0017757569,0.00012349986,0.95538392,4.4075443,30.141526,7.5060724e-05,0.0042853689,0.50554726,0.034581817,965.21375
5cc5ee55,0.000000,0.63,1247.0400,0.000000,1247.0400,956.3700,0.000000,0.35183582,0.0041580162,5.7131001e-05,0.0023257101,0.066227852,0.00024692401,0.13527172,4.8580029,30.098222,6.5038156e-05,0.0041541852,0.50084515,0.015602265,1198.6729
9ed60ef8,0.000000,0.63,1247.4400,0.000000,1247.4400,956.3700,0.000000,0.18734443,0.0097595205,3.1346546e-05,0.0050083935,0.37333969,0.00033143544,0.9085116,4.886554,30.335593,5.4284504e-05,0.0047740033,0.53985669,0.06182371,1198.2238
c810a72b,0.000000,0.63,1197.2200,0.000000,1197.2200,956.3700,0.000000,0.16158326,0.0026593636,1.6349946e-05,0.0021401337,0.080598968,0.00061298892,0.025747461,4.4334168,29.970905,3.6164442e-05,0.0027871028,0.52977237,0.03305551,1147.8573
aa9d6798,0.000000,0.63,1169.7000,0.000000,1169.7000,956.3700,0.000000,0.091903371,0.0085420931,2.9166662e-05,0.0011081015,0.11577072,0.00099717292,0.58057974,5.060303,30.286202,1.2824132e-05,0.00090973671,0.50009856,0.094642298,1120.3257
d24c8ffd,0.000000,0.63,1231.2800,0.000000,1231.2800,956.3700,0.000000,0.043175354,0.0080969291,3.4738129e-05,0.0027858524,0.17297992,0.0013684929,0.38393282,4.6624837,29.665394,2.6956029e-05,0.0035682751,0.52177544,0.033494448,1181.9859
25491e18,0.000000,0.63,1067.2000,0.000000,1067.2000,956.3700,0.000000,0.15125361,0.0048905097,1.8598114e-05,0.0035642653,0.12861385,0.00022590881,0.24813067,4.8694061,30.017056,3.7455078e-05,0.0047415735,0.50865715,0.015664732,1018.7538
fe0a6b63,0.000000,0.63,1022.6000,0.000000,1022.6000,956.3700,0.000000,0.032954191,0.0048641817,8.4758605e-06,0.0018159817,0.37800289,0.0015784772,0.82224125,4.2601751,30.12159,4.9974188e-05,0.0023709526,1.0972007,0.042379827,973.20502
fe91e0b3,0.000000,0.63,1032.7000,0.000000,1032.7000,956.3700,0.000000,0.05941833,0.0040753342,1.620104e-05,0.0012521959,0.25541856,0.00043485295,0.34805818,4.2074142,29.680454,4.1859238e-05,0.0023618775,0.70520927,0.056326121,983.30943
ca07cf9e,0.000000,0.63,1242.4400,0.000000,1242.4400,956.3700,0.000000,0.47708467,0.0041594072,2.9925092e-05,0.001907166,0.023598765,0.00087664195,0.42420032,4.6433611,30.081862,6.5178782e-05,0.0046192791,0.5106115,0.048905985,1193.2069
480431cb,0.000000,0.63,983.0600,0.000000,983.0600,956.3700,0.000000,0.16528093,0.015320597,3.7332738e-05,0.00301753,0.20272008,0.00064098718,0.54398098,4.7272973,29.807773,8.8742778e-05,0.002045939,0.64620075,0.047928124,933.65461
86f75a86,0.368613,0.63,603.8400,0.368613,603.8400,956.3700,0.368613,0.13107834,0.0050016522,4.2632995e-05,0.0043915359,0.007442196,0.0011058181,0.59953911,4.6494503,30.250121,8.039886e-05,0.0030001161,0.61336163,0.028061917,554.04682
1ce056d5,0.192279,0.63,772.4800,0.192279,772.4800,956.3700,0.192279,0.15336213,0.0068263391,1.1756796e-05,0.0033894866,0.37901375,0.0012266246,0.016994079,4.9582472,29.971716,7.0546927e-05,0.0044555682,0.50956554,0.028305629,722.87887
5f37f738,0.267689,0.63,700.3600,0.267689,700.3600,956.3700,0.267689,0.22508609,0.0013917773,1.1824903e-05,0.001266765,0.206726,0.00058100086,0.2496267,4.0588434,30.160628,4.9999099e-05,0.0023431374,1.0409276,0.038912207,650.71616
43832c63,0.000000,0.63,1248.3000,0.000000,1248.3000,956.3700,0.000000,0.093436972,0.0036687951,2.4052645e-05,0.0010816258,0.033182313,0.00095802459,0.084139836,4.6147677,30.03575,7.4813717e-06,0.0030394562,0.79194074,0.061215039,1199.0805
fc5fc9c2,0.000000,0.63,1220.8400,0.000000,1220.8400,956.3700,0.000000,0.20878142,0.0021440708,2.0758306e-05,0.005427184,0.050008934,0.00029149526,0.68446166,4.6510708,29.556409,1.7700526e-05,0.0030244539,0.81411595,0.052180428,1171.5011
21ae7a07,0.000000,0.63,1107.0400,0.000000,1107.0400,956.3700,0.000000,0.19193089,0.0027560686,0.00014223356,0.00074179604,0.060843764,0.0014152645,0.33461295,4.4900251,30.063117,8.932403e-05,0.0017388772,1.3964628,0.047034394,1057.6802
9e33ade1,0.000000,0.63,1248.8000,0.000000,1248.8000,956.3700,0.000000,0.16271709,0.0026975852,4.1969611e-05,0.001857938,0.13537311,0.00066851155,0.20187718,4.9643583,29.757358,2.7608015e-05,0.0038360763,0.53850232,0.059018402,1199.5217
21a535c0,0.000000,0.79,1013.8600,0.000000,1013.8600,956.3700,0.000000,0.089253602,0.0026414466,0.00013480028,0.0015929383,0.36157482,0.00029096315,0.50080389,4.3494214,30.082097,1.7379181e-05,0.0048138856,0.63407172,0.038995562,964.39779
4bc0a374,0.000000,0.79,1232.1600,0.000000,1232.1600,956.3700,0.000000,0.13329697,0.0022853771,2.5440431e-05,0.0025792316,0.0040835684,0.00024118445,0.19215431,4.5390395,29.889156,7.1048436e-06,0.0016259968,0.8292261,0.033462236,1182.9186
