id,cost,elapsed_min,fl_x_drift_mm,fl_y_drift_mm,fl_z_drift_mm,stance_drift_mm,fl_x_cost,fl_y_cost,fl_z_cost,stance_cost,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
d8ae08e4,1.0,1.4,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.1651484692170647,0.0005636624751606383,1.3615412639961384e-05,0.0058848554781106635,0.5167291633622133,0.0006423851879044226,0.92055548155423,4.382418431227276,29.265280301951652,1.359472117312717e-05,0.005,0.5445013541477347,0.028983238263632288,1099.9999999999998
ddbacb3c,0.005263642485720904,1.4,1.0845793144799747,3.290135096827156,4.0988768254084,8.846764715262005,0.00014099531088239672,0.00042771756258753026,0.001598561961909276,0.003096367650341701,0.3622955948346487,0.0008343716813011406,4.018374081231271e-05,0.00655466845148157,0.16562598508668697,0.0004097003530732149,0.2987873757969242,4.5633331065391625,29.611014282781557,1.1976894100318876e-05,0.005,0.7920548145992559,0.054696935705932134,1099.9999999999998
e50e3497,0.13213578022899403,1.4,109.41646103294258,259.079377352351,148.15483774099496,75.5740986283366,0.014224139934282535,0.03368031905580563,0.05778038671898804,0.02645093451991781,0.15510770730295098,0.0020519579186481797,1.1298025461203308e-05,0.0046043738649078295,0.48109345426160216,0.0006825373900885888,0.448916692105779,4.804474664304071,29.93305543167213,1.8639189794183867e-05,0.005,1.749815065204238,0.020283416434386803,800.0000000000003
088f6b56,1.0,1.4,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.09231055128957706,0.0031259802415002555,2.651858621559119e-05,0.0018732629465146896,0.001,0.0002980481529305997,0.21029546618125888,4.383624260455886,30.21030834911665,9.530030340906649e-06,0.005,0.9212767089864252,0.0769019516569785,1099.9999999999998
75d31009,0.03889983030946014,1.4,6.290068442075264,28.16624525762449,50.12240623963864,42.493631700114584,0.0008177088974697844,0.0036616118834911834,0.019547738433459073,0.014872771095040102,0.35059749610071034,0.00040115410788895653,2.7845876373073176e-05,0.0075920465406147395,0.8122400802828791,0.0008480077377386557,0.01139512278200333,4.335560433294796,29.521879921330317,2.3869123289564943e-05,0.005,2.0,0.04132226517006907,800.0000000000003
62489f41,1.0,1.4,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.10758305158232306,0.0019138612511097753,1.3774510471378738e-05,0.005421261762167352,0.48520963020086405,0.0005644760058802047,0.612538750140806,4.64581466414532,29.788499248843543,2.3737951374856087e-06,0.0,2.0,0.028756169379396977,1099.9999999999998
5c624632,0.014017510330420648,1.4,1.7832598579599037,4.1749791859813765,14.448957580254536,21.736702281168608,0.0002318237815347875,0.000542747294177579,0.005635093456299269,0.007607845798409013,0.28194278034783815,0.002259912080306254,4.111297864414344e-05,0.0038868072845019614,0.2717043570152886,0.00047551236873256947,0.2964613779825047,4.168980130198705,29.9103214161788,3.661786640702619e-05,0.0,0.5916263435405564,0.06229412703081977,1099.9999999999998
7abee547,1.0,1.4,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.24599108576479756,0.0006292818586630076,3.28657644066046e-05,0.006217133804011751,0.6061036034549074,0.00028561328395089946,0.035623473671189454,4.25021921906133,29.763317329851375,1.676422671004475e-05,0.005,0.6397922520254989,0.08246601880379618,1099.9999999999998
be1870e0,0.014338588453223866,1.4,1.8155041225373099,7.9581797546348225,13.646873056259121,22.130654449286947,0.00023601553592985029,0.001034563368102527,0.005322280491941058,0.007745729057250431,0.17293067953703947,0.0007822852611986571,4.709457347726341e-05,0.0031774280764021545,0.4907227488477449,0.0002435989396382854,0.01,4.1926047747257424,29.768084203900806,1.9325035894286846e-05,0.005,0.5,0.03414965470034683,1099.9999999999998
e9054b73,0.014252817203369551,1.7,1.5625195076205198,7.7141830955616655,12.194413982549333,23.688641176461793,0.0002031275359906676,0.0010028438024230165,0.00475582145319424,0.008291024411761628,0.5431093307594789,0.0009641429213922516,2.328065909812494e-05,0.004615555076963763,0.6713880198746349,0.0001873633885793324,0.23298614828737124,4.0152652395925434,30.284525515053804,4.145204847194531e-05,0.0,1.0277043643371528,0.061579033063247135,1099.9999999999998
