id,cost,elapsed_min,pulloff_force,pulloff_shortfall,pulloff_cost,wrench_achieved,wrench_shortfall,wrench_detach_cost,wrench_drift_cost,xy_drift,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
d0d3ffd0,0.350000,0.97,1100.8000,0.000000,0.000000,1047.4400,0.000000,0.000000,0.700000,381.0648,0.11497679,0.0033313178,5.570397e-05,0.0049673649,0.5437028,0.00072685427,0.28645277,4.3057593,29.745417,9.6468674e-06,0.00058769022,0.50435831,0.048321907,1043.361
65e1b556,0.350000,0.97,1119.9800,0.000000,0.000000,1187.2600,0.000000,0.000000,0.700000,395.8017,0.2852837,0.0026344197,7.9646007e-05,0.0043491799,0.99795358,0.00066325165,0.18331994,4.4141228,30.021358,5.4831702e-06,0.0043383788,0.66363398,0.063889957,1182.5392
30eb619a,0.350000,0.97,1119.9800,0.000000,0.000000,1124.2200,0.000000,0.000000,0.700000,431.6559,0.044091669,0.0056089776,7.654789e-05,0.00084078731,0.51987384,0.0018362516,0.8248138,4.1296014,29.99473,2.6992797e-05,0.0039201213,0.72116816,0.09685823,1119.0195
057ea182,0.350000,0.97,1119.9800,0.000000,0.000000,1181.6000,0.000000,0.000000,0.700000,395.5847,0.34953124,0.0042068193,3.3276347e-05,0.00097107237,0.42185142,0.00051636387,0.61042884,4.2628984,29.872958,3.3934679e-05,0.0024461057,0.50140923,0.060422842,1177.6589
6601a4fb,0.350000,0.97,1119.9800,0.000000,0.000000,1176.7400,0.000000,0.000000,0.700000,383.6873,0.1483071,0.0055459967,3.4827812e-05,0.0050996665,0.68359393,0.00036740518,0.010549016,4.6452577,29.808357,8.9219424e-06,0.0048678637,0.52593142,0.049437847,1172.7171
91fc2445,0.350000,0.97,1119.9800,0.000000,0.000000,1194.8600,0.000000,0.000000,0.700000,364.9702,0.18185296,0.0033672909,1.4534068e-05,0.0037595009,0.42879464,0.0014498732,0.014704964,4.633346,30.063087,1.50106e-05,0.0020575788,0.50330817,0.031596256,1191.1898
0e4061f0,0.350000,0.97,1111.3000,0.000000,0.000000,1058.5600,0.000000,0.000000,0.700000,433.4878,0.033491958,0.0061148172,4.1029682e-05,0.0035791444,0.96452196,0.0010071094,0.22286786,4.6488573,30.223238,8.8496756e-06,0.0039975069,0.59601526,0.099955342,1053.7755
79d9d97e,0.350000,0.97,1090.9400,0.000000,0.000000,1037.8000,0.000000,0.000000,0.700000,370.4211,0.68381182,0.0038802387,9.844663e-05,0.003741925,0.18408014,0.00075973805,0.14586394,4.4153814,30.300597,4.9373576e-06,0.0039420465,0.56715714,0.038144575,1033.4808
6e3d4836,0.350000,0.97,1109.1800,0.000000,0.000000,1055.5800,0.000000,0.000000,0.700000,362.6905,0.39821998,0.0049926568,3.6699897e-05,0.0015068712,0.3180072,0.00022584972,0.8585399,4.5139643,30.182264,4.0505926e-05,0.0047560283,0.53067711,0.030256762,1051.6455
94b0f67b,0.350000,0.97,1119.9800,0.000000,0.000000,1202.4800,0.000000,0.000000,0.700000,392.5041,0.08858307,0.0044296582,2.7644293e-05,0.0025739365,0.4168331,0.00022976156,0.87117204,4.1214687,29.681437,5.4375189e-06,0.0029742352,0.66695126,0.058151047,1197.7863
28dbf7f7,0.350000,0.97,1092.1200,0.000000,0.000000,1041.1600,0.000000,0.000000,0.700000,434.7841,0.12054042,0.0023842529,2.7019886e-05,0.0051311804,0.70763889,0.00042842714,0.39369975,4.2089353,30.076451,3.3475801e-05,0.0043471217,1.2121737,0.099760991,1034.5875
fc4d0b86,0.350000,0.97,1119.9800,0.000000,0.000000,1139.5200,0.000000,0.000000,0.700000,412.6349,0.084010844,0.012611863,1.1757585e-05,0.001934503,0.12200605,0.00020480655,0.3784071,5.0530724,30.183598,1.8771758e-05,0.0028969267,0.68836722,0.078348656,1134.5451
9042364f,0.391940,0.97,906.7400,0.051894,0.051894,854.4000,0.106622,0.031987,0.700000,404.7779,0.34504163,0.0084003782,3.375847e-05,0.0038798594,0.61382203,0.00016504397,0.27722127,4.3723215,30.039126,3.9271379e-06,0.002854496,0.67099017,0.0705727,849.13833
9b009400,0.350000,1.23,1119.9800,0.000000,0.000000,1101.3600,0.000000,0.000000,0.700000,409.8677,0.20379361,0.0035618357,0.00010140185,0.0043981803,0.72791576,0.00048451076,0.12259189,5.2044259,30.297423,3.540414e-05,0.0011680571,0.82005917,0.078629254,1095.8955
26a3db31,0.420673,1.23,864.2800,0.096291,0.096291,812.7400,0.150182,0.045055,0.700000,395.5399,0.26719582,0.0020403216,6.6922638e-05,0.0013223266,0.73271947,0.0020959317,0.31472755,4.6211122,30.139835,1.2340386e-05,0.0040868029,0.9397047,0.063573718,806.65377
4a70c049,0.393441,1.23,904.8600,0.053860,0.053860,851.1000,0.110072,0.033022,0.700000,351.6651,0.089451557,0.010112418,0.00028322664,0.00067411889,0.44335372,0.00053651326,0.42704488,3.9100424,30.065292,1.677946e-05,0.002930281,1.7434042,0.017344378,848.23228
b6db24a9,0.350000,1.23,1072.8200,0.000000,0.000000,1019.5400,0.000000,0.000000,0.700000,407.5133,0.29721276,0.0016873339,3.5949825e-05,0.0020839416,0.97438365,0.0002414685,0.93004329,4.6892626,30.041785,3.3353152e-06,0.0037077843,0.50506218,0.073942047,1015.2691
432f8af8,0.449708,1.23,821.4400,0.141086,0.141086,770.4200,0.194433,0.058330,0.700000,387.2297,0.58376351,0.0025979971,4.8625219e-05,0.0081179026,0.54630232,0.00054560654,0.15704846,4.6017346,30.495041,7.0697573e-06,0.0020610508,1.2402918,0.052759657,763.73341
a7567b61,0.350000,1.23,1119.9800,0.000000,0.000000,1197.7400,0.000000,0.000000,0.700000,366.6499,0.29477246,0.004666523,6.7350646e-05,0.0038516834,0.59503335,0.00022204724,0.26365384,4.4595095,29.935511,1.3051067e-05,0.0048665854,0.93427383,0.035195423,1192.5106
a66582c2,0.350000,1.23,1119.9800,0.000000,0.000000,1204.5000,0.000000,0.000000,0.700000,417.6382,0.25750768,0.00659156,2.6245274e-05,0.0059997712,0.75243723,0.00086829805,0.15885402,4.1337,29.953861,1.0383574e-05,0.0043889891,0.98744815,0.083071754,1198.6989
b07b27b4,0.415394,1.23,872.1400,0.088073,0.088073,820.2000,0.142382,0.042715,0.700000,431.9474,0.067489723,0.0052587642,1.9797076e-05,0.0022914984,0.914006,0.0011338326,0.12377247,4.9573948,30.205747,7.5591506e-06,0.0029947593,0.77007595,0.09662873,814.40296
63e2d477,0.459537,1.23,807.3800,0.155787,0.155787,754.6200,0.210954,0.063286,0.700000,408.2743,0.20525431,0.0011044694,4.6242325e-05,0.00054658667,0.78077278,0.00053459348,0.21518607,4.8777139,30.682395,2.3370227e-05,0.0036522249,0.55169649,0.077263483,749.67748
