id,cost,avg_vel,Br,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,sliding_friction,torsional_friction,rolling_friction,rocker_stiffness,rocker_damping,wheel_kp,wheel_kv,max_magnetic_distance,noslip_iterations
38aec906,0.3467089411891442,1.6532910588108558,1.5552473175865489,0.0007474690993032253,30.067079783333185,0.9128351691924657,0.9457533980406544,0.0008375609535577329,0.9143079930867213,0.1,2.053319173093512e-05,25.27269065918449,0.7682474698265866,2.8686189955021546,0.9023450344212908,0.00744644065099119,25
ba22aa0a,0.34903961287633045,1.6509603871236695,1.5636675100109596,0.0002390436889278277,18.63973238081813,0.9898064794942112,0.9738969790313544,0.0007130219337976782,0.9561985424580683,0.04016635307265164,0.000829837385445158,29.258438668581615,4.260903391401216,2.441622481263073,0.743135748969052,0.008402918293051632,30
591297c0,0.40531681946470943,1.5946831805352906,1.4359896341921239,0.0007641769535797364,40.961051088017065,0.800001569801823,0.9375908190134372,0.0016638014702868467,0.9269514719518883,0.000630246648836318,9.865357778658407e-05,27.74381887789514,1.3593665772331858,3.240698025751422,1.1586172974624895,0.008425634078530335,23
6c7c6fd3,0.463322132781518,1.536677867218482,1.6001372833573833,0.0002898463085650586,36.44714162825814,0.8820039987811189,0.9426090765477659,0.0007502216990458151,0.9792063915247045,0.004783871638650378,3.368406636000384e-05,31.078301225931018,0.38123287033512976,3.228496817324605,1.1010431102946132,0.009164258249213858,27
bdf0d6a7,0.4644900269300227,1.5355099730699773,1.332,0.0008,50.0,0.99,1.0,0.01,0.9697539538471454,0.0037054070324369238,0.010831404369288757,50.79438006701709,4.999999999999999,3.3359466761322656,2.5383824534440573,0.00855390730357425,30
50b24714,0.5250203845572579,1.4749796154427421,1.4168175445219686,0.0007353861438536384,23.164887577983947,0.9256829986065606,0.9398685863629569,0.0005397832310732971,0.9497021914780333,7.826718198463265e-05,1.38003966415512e-05,27.20070337487648,0.37708480955084633,3.202477416277268,0.840683069138035,0.00866463722883411,23
899ea6bd,0.543713500900088,1.456286499099912,1.5631125862896884,0.0005807438958173816,10.429095433204425,0.8825181549192521,0.949672993307841,0.00027578152843359474,0.9065919703085198,0.1,0.020262187991471635,18.69009318239957,1.6979012316595306,3.0130749742301868,0.8972291871840757,0.009105795201186926,30
45c73c89,0.5473003551093869,1.452699644890613,1.5907184994504697,0.00039338891154795983,30.236105810653974,0.9447971496856974,0.92797527033005,0.0042128618143542785,0.9273111898661698,0.02180014025765244,2.191253093438541e-05,19.496201350371308,2.793770902851198,3.192642666032948,0.8282952011039519,0.00947576500597634,30
642cde86,0.5517680603074786,1.4482319396925214,1.3599792530490793,0.00020693033968579772,33.006901926404126,0.99,1.0,0.005404402552762375,0.9030550875566942,0.0006612971985746758,0.0008633575901022004,17.720551890643957,1.7018099583465955,2.8929331016788122,2.4706491818165985,0.008972951042886425,30
3223ac92,0.6705008596667719,1.3294991403332281,1.608804909252866,0.0008,21.277871447378022,0.9750630527250184,0.9433957877596311,0.0032956017639631315,0.9167908361400294,0.0731857342758077,1.271964869527805e-05,27.79605243840729,0.16042120214200448,3.2384130733390024,0.15422432423777915,0.00876591813624287,23
8bbb96a7,0.8228717218641959,1.1771282781358041,1.5532067526006648,0.0004777844926723559,33.47004662655394,0.9833985083801863,0.9607034247686685,0.0003564497907039462,0.9296273505704082,4.582133690843358e-05,1.1549033124221254e-05,26.50949659364384,0.46869665564088364,3.152300460823989,0.10669882710369706,0.009071308492550079,23
9f64ee38,0.9445317738677252,1.0554682261322748,1.5496239712952686,0.00024635013451639964,31.657918953102637,0.9321990358755656,0.9228550021797299,0.00022382564990409238,0.9982168343329436,0.001165583967396926,0.00011048840376235817,99.14109236071427,4.367355246446875,8.882267151670803,5.824688255969174,0.008800019057804516,12
72bd3897,0.9494660707047637,1.0505339292952363,1.3374725271642924,0.0002554033270021926,18.691496035584215,0.9038286144694647,0.9871336090814593,0.0008065668115992237,0.9523605253745218,0.014865105463044776,0.0017063053667230826,27.990263310323794,0.21930595243689072,2.7489000369955896,1.0816663936062076,0.008282218455114697,28
71441897,0.959264785767808,1.040735214232192,1.3631095103824664,0.0008,50.0,0.8,1.0,0.01,1.0,0.1,1e-05,10.0,0.1,3.1421784243912856,4.871546714626215,0.009539856457173245,30
5685b32a,0.9737929782685983,1.0262070217314017,1.5064753960441053,0.0005292669053024166,19.551397653761505,0.8022181796472094,0.9326527188560251,0.0005988637057858205,0.9274680965118577,1.4645879972412493e-05,0.0006772952104144462,27.573270223700593,0.21568003999962462,3.2308666404585824,1.1272021607949774,0.00850695432819306,23
9469308e,0.9783311283145342,1.0216688716854658,1.4110907903082446,0.0007249315232680693,21.079352135604406,0.99,0.9458206849641891,0.0004122261211599954,0.9060043154581929,0.000485349311703613,0.05954166481895899,22.692516567332476,1.029405263216543,2.9892012629672613,0.6553230124582213,0.011331633183796794,30
f273e990,0.9854262551913444,1.0145737448086556,1.567446529497209,0.0008,18.96177350430969,0.9087746589540506,0.902942935246109,0.00039270617798204126,0.9523927433439388,0.0006140464040951091,0.00022518039896877393,27.598055319349697,0.41161027544116036,3.238819273218736,2.566270628668229,0.0084372409333468,23
